,3G,3G Speed,Additional Content,Audio Formats,Audio Jack,Battery Capacity,Battery Type,Bluetooth Support,Bluetooth Version,Browse Type,Browser,Business Phone,Call Divert,Call Log Memory,Call Records,Call Timer,Call Wait/Hold,Color,Conference Call,Cost,Covered in Warranty,DLNA Support,Depth,Digital Zoom,Display Colors,Display Size,Display Type,Domestic Warranty,Dual Battery,Dual Camera Lens,EDGE,EDGE Features,Expandable Storage,FM Radio,FM Radio Recording,Flash,Frame Rate,Full HD Recording,GPRS,GPRS Features,GPS Support,GPU,Games,Graphics PPI,HD Game Support,HD Recording,Hands Free,Height,Hot SWAP Support,Hybrid Sim Slot,Image Editor,Imgsrc,Important Apps,In The Box,Infrared,Instant Message,Internal Storage,International Warranty,Internet Connectivity,JAVA Support,Java Application,Keypad,Keypad Type,Logs,MMS,Map Support,Memory Card Slot Type,Micro USB Port,Micro USB Version,Mini HDMI Port,Mini USB Port,Mini USB Version,Mobile Tracker,Model Name,Model Number,Music Player,NFC,Name,Network Type,Not Covered in Warranty,OTG Compatible,Operating Frequency,Operating System,Optical Zoom,Other Display Features,Other Features,Phone Book,Phone Book Memory,Pre-installed Browser,Predictive Text Input,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Quick Charging,RAM,Removable Battery,Resolution,Resolution Type,Ringtones Format,SIM Access,SIM Size,SIM Type,SMS,SMS Memory,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Secondary Clock Speed,Sensors,Series,Smartphone,Social Networking Phone,Sound Enhancements,Speaker Phone,Speed Dialing,Supported Languages,Supported Memory Card Type,Supported Networks,TV Out,Talk Time,Total Memory,Touchscreen,Touchscreen Type,USB Connectivity,USB Tethering,Upgradable Operating System,User Interface,User Memory,Video Call Support,Video Formats,Video Recording,Video Recording Resolution,Voice Input,WAP,WAP Version,Warranty Service Type,Warranty Summary,Weight,Wi-Fi,Wi-Fi Hotspot,Wi-Fi Version,Width,flipkart_link,reviewlink
1314,,,SD CARD,MP3,3.5 mm,1000 mAh,Li-Ion,Yes,,Feature Phones,,,Yes,Yes,,Yes,,Black & Grey,Yes,799,Warranty of the product is limited to Manufacturing defects,,,,,1.8 inch,TFT,1 Year,,,,,8 GB,,,,,,,,,,Yes,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j3dbtzk0/mobile/2/c/y/mtech-g17-g17-original-imaeugkagfpzkakm.jpeg?q=70,,"Handset, Charger, Battery, Earphone, User Guide, Warranty Card",,,32 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,Yes,,,,,Yes,G17,G17,Yes,,Mtech G17  (Black & Grey),2G,Physical and Accidental Damages,No,"GSM - 850, 900, 1800, 1900",,,,,Yes,Yes,WAP,,0.3MP,Yes,,,,,,32 MB,Yes,128 x 160 Pixels,,"MP3, WAV, AMR",Dual Standby,Normal SIM,Dual Sim,Yes,Yes,,,,,,,No,,,Yes,Yes,"English, Hindi",microSD,"GSM, GSM",,15-18 hrs,,No,,Yes,,,,,,MP4,,,,Yes,,On-site Service,1 Year Mtech Warranty for Mobile Phone,,,,,,https://www.flipkart.com/mtech-g17/p/itmeugp3n3yszhce?pid=MOBEUGPGJWUYY2CY&srno=s_77_20&otracker=search&lid=LSTMOBEUGPGJWUYY2CYPOUPJH&fm=organic&iid=95fa9a18-5849-4518-9fb0-f1ba89dbcbea.MOBEUGPGJWUYY2CY.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/mtech-g17/product-reviews/itmeugp3n3yszhce?pid=MOBEUGPGJWUYY2CY
1315,No,,SD Card,MP3,3.5 mm,1450 mAh,Li-Ion,Yes,2,Feature Phones,WAP,No,Yes,Yes,"Missed Calls, Received Calls, Dialled Calls",Yes,Yes,"Black, Red",Yes,"1,145",Only Technical Faults Will Cover,No,13 mm,Yes,262K,2.4 inch,QVGA,1 Year,No,,No,,16 GB,Yes,Yes,No,,No,Yes,Class 12,No,,Yes,,No,No,Yes,123 mm,No,,No,https://rukminim1.flixcart.com/image/704/704/mobile/q/g/k/mtech-l6-l6-original-imaedtzwyg8fcqfg.jpeg?q=70,,"Mobile, Handsfree, Battery, Charger, User Manual, Warranty Card",No,No,32 MB,,,No,No,Yes,Alphanumeric,"Missed Calls, Received Calls, Dialled Calls",No,,,Yes,2,No,No,,Yes,L6+,L6+,Yes,No,"Mtech L6+  (Black, Red)",,"Tempered, Scratched, Waterlogged",,GSM: 900/1800 MHz,,Yes,,,Yes,Yes,WAP,No,1.3MP,Yes,,,,,,32 MB,Yes,,,MP3,DUAL STANDBY,MICRO SIM,Dual Sim,Yes,Yes,,No,,,,L6+,No,No,,Yes,No,"Hindi, English",MicroSD,"GSM, GSM",No,8 hrs,,No,,Yes,No,,,32,No,MP4,Yes,,No,Yes,2,"Customer Need to Visit the Nearest Service Center Of their Location, If there is Any Technical Fault In the Product.",1 Year Manufacturer Warranty,,No,No,,52.5 mm,https://www.flipkart.com/mtech-l6/p/itmffy7mbm9eafz6?pid=MOBEDUQAWPS8ZQGK&srno=s_77_21&otracker=search&lid=LSTMOBEDUQAWPS8ZQGKBVMVWE&fm=organic&iid=c2daaac3-468c-4f8d-88b5-b188d1c119a5.MOBEDUQAWPS8ZQGK.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/mtech-l6/product-reviews/itmffy7mbm9eafz6?pid=MOBEDUQAWPS8ZQGK
1316,Yes,,,MP3,,2700 mAh,Li-Polymer,Yes,4.1,Smartphones,,,,Yes,,,,Golden Graphite,,"10,480",,,7.4 mm,,16 M,5.5 inch,,,,,,,2 TB,,,Yes,,Yes,,,Yes,,,,,Yes,,156.99 mm,,No,,https://rukminim1.flixcart.com/image/704/704/mobile/x/q/b/htc-desire-825-na-original-imaemryzzfsc5fjs.jpeg?q=70,,"Handset, AC Adapter, USB Cable, Headset, Safety and Regulatory Guide, Quick Start Guide, Limited Warranty Statement, Customer Care Card",,,16 GB,,"4G, 3G, Wi-Fi",,,,,,,Google Maps,,,,,,,,Desire 825,,,,"HTC Desire 825 (Golden Graphite, 16 GB)  (2 GB RAM)","4G, 3G, 2G",,No,"GSM - 850, 900, 1800, 1900; UMTS - Bands (1/2/5/8); 4G LTE (FDD) - Bands (1/3/5/7/8/20/28/40)",Android Marshmallow 6,,Display Density: 269 dpi,,Yes,,Android,,13MP,Yes,Camera Resolution: 4224 x 3136 Pixels,1.6 GHz,Quad Core,MSM8928-AC,,2 GB,No,1280 x 720,HD,,,Nano SIM,Dual Sim,Yes,,5MP,Yes,Camera Resolution: 2560 x 1920 Pixels,,,,Yes,,,,,,microSD,"4G LTE, 4G LTE",,,,Yes,,,,,,,,,Yes,1920 x 1080,,,,,Brand Warranty of 1 Year,155 g,Yes,,,76.98 mm,https://www.flipkart.com/htc-desire-825-golden-graphite-16-gb/p/itmeuyd8h5hepbna?pid=MOBEKHZ3XHAQ2XQB&srno=s_77_23&otracker=search&lid=LSTMOBEKHZ3XHAQ2XQBZGAULZ&fm=organic&iid=d10a72ea-65a4-49aa-8c7a-669cd51be015.MOBEKHZ3XHAQ2XQB.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/htc-desire-825-golden-graphite-16-gb/product-reviews/itmeuyd8h5hepbna?pid=MOBEKHZ3XHAQ2XQB
1317,,,,"MP3, WMA, AAC, AAC+, WAV, AC3, AAC-LC, AMR-NB, WMA, WAV",3.5 mm,2800 mAh,Li-Ion,Yes,4.1,Smartphones,,Yes,,Yes,,,,Black,,"10,499",,,,,16 M,5.3 inch,,,,,Yes,Class 12,2 TB,Yes,Yes,,,,Yes,Class 12,,Mali-T860 MP2,,,,Yes,,,,No,Yes,https://rukminim1.flixcart.com/image/704/704/mobile/z/z/s/lg-k10-2017-m-250i-original-imaerzcffsgzher9.jpeg?q=70,,"Handset, Quick Service Guide, Charger, Stereo Ear Microphone, USB Data Cable, Qucik Smart Cover",,Yes,16 GB,,,,,,,,Yes,Yes,Dedicated Slot,,,,,,,K10 2017,M-250I,Yes,,"LG K10 2017 (Black, 16 GB)  (2 GB RAM)","4G VOLTE, 3G, 2G",,Yes,,Android Nougat 7,,,,Yes,Yes,,,13MP,,,1.5 GHz,Octa Core,,,2 GB,Yes,1280 x 720 Pixels,HD,,,Nano SIM,Dual Sim,Yes,Yes,,,,,"Proximity Sensor, Accelerometer, Digital Compass, Ambient Light Sensor, Hall IC Sesnor",Curve,Yes,,,Yes,,9 Regional Languages,,"GSM, 4G LTE",,,,Yes,Capacitive,Yes,,,,11.7,Yes,"DivX, WMV, MP4, H.264, H.263",Yes,,,,,,1 Year Manufacturer Warranty,,Yes,Yes,802.11 b/g/n,,https://www.flipkart.com/lg-k10-2017-black-16-gb/p/itmeuydqvymtghed?pid=MOBERQKYCUKUMZZS&srno=s_77_24&otracker=search&lid=LSTMOBERQKYCUKUMZZSFXLWN9&fm=organic&iid=1c8df562-a645-491c-a923-3e2ee4970400.MOBERQKYCUKUMZZS.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/lg-k10-2017-black-16-gb/product-reviews/itmeuydqvymtghed?pid=MOBERQKYCUKUMZZS
1318,Yes,HSPA+,,MP3,,2700 mAh,,Yes,4.2,Smartphones,,,,Yes,,,,Gold,,"25,990",,,8.1 mm,,,6 inch,,,,,Yes,,256 GB,,,Smart Selfie Flash,,,Yes,,Yes,,,,,,,165 mm,,No,,https://rukminim1.flixcart.com/image/704/704/j3dbtzk0/mobile/w/r/p/sony-xperia-xa1-ultra-dual-g3226-original-imaeugkfeayg5wez.jpeg?q=70,,"Mobile, Quick Charger, Type C Data Cable, Startup Guide, Stereo Headphones",,,64 GB,,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,Google Maps,Dedicated Slot,,,,,,,Xperia XA1 Ultra Dual,G3226,,Yes,"Sony Xperia XA1 Ultra Dual (Gold, 64 GB)  (4 GB RAM)","4G VOLTE, 3G, 2G",,Yes,,Android Nougat 7,,"Image Enhance Technology, Corning Gorilla Glass, Borderless Screen with 2.5D Curved Glass","Battery: Qnovo Adaptive Charging, Stamina Mode, Quick Charging (MediaTek Pump Express 2.0), LTE (4G) Cat 4 / Cat 6, WiFi Miracast, Google Cast, USB Type C",Yes,Yes,Android,,23MP,Yes,"1/2.3 inch Exmor RS for Mobile Image Sensor, Hybrid Autofocus, Quick Launch and Capture, Low-Light Photo: ISO6400, 24 mm Wide-angle F2.0 Lens, 5x Clear Image Zoom, Steady Shot, Low-light Photo: ISO 6400",2.3 GHz,Octa Core,Helio P20 64-bit,Yes,4 GB,,1920 x 1080 pixels,Full HD,,,Nano SIM,Dual Sim,Yes,,16MP,Yes,"1/2.6 inch Exmor R for Mobile for Mobile Image Sensor, Low-light Photo: Upto ISO 6400, 23 mm Wide-angle Lens F2.0, OIS (Optical Image Stabilisation), Selfie",1.6 GHz,,,Yes,,"Smart Amp, ClearAudio+, Stereo Recording",,,,microSDXC,"4G LTE, 4G LTE",,,,Yes,,Yes,,,,,,,Yes,,,,,,Brand Warranty of 1 Year,188 g,Yes,,,79 mm,https://www.flipkart.com/sony-xperia-xa1-ultra-dual-gold-64-gb/p/itmeuyd6yfz5ybzh?pid=MOBEUC4GZZZZCWRP&srno=s_27_1&otracker=search&lid=LSTMOBEUC4GZZZZCWRPFHREJH&fm=organic&iid=eeb429eb-9bb3-411c-9074-f9420d92f8ea.MOBEUC4GZZZZCWRP.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/sony-xperia-xa1-ultra-dual-gold-64-gb/product-reviews/itmeuyd6yfz5ybzh?pid=MOBEUC4GZZZZCWRP
1319,Yes,,,"WAV, AAX, AAX+, AAC, VBR, MP3, AIFF, HE-AAC",3.5 mm,2750 mAh,Li-Ion,Yes,4.2,Smartphones,Safari,,,Yes,,,,Space Grey,,"40,999",,,7.3 mm,,16 M,5.5 inch,LED Backlit IPS LCD,,,,Yes,,,,,,"2160p@30fps; 1080p@30fps,1080p@60fps; 720p@30fps; Slow Motion Video Support: 1080p@120fps and 720p@240fps fps",Yes,Yes,,Yes,PowerVR GT7600 (Six-core Graphics),Yes,,,Yes,Yes,158.2 mm,,No,,https://rukminim1.flixcart.com/image/704/704/j7qi9ow0/mobile/y/h/t/apple-iphone-6s-plus-mn2v2hn-a-original-imaexw6yzq92gwsu.jpeg?q=70,"Health, FaceTime, iTunes Store, App Store, iBooks, Game Center, Weather, Voice Memos, Stocks, Podcasts, iMovie, Pages, Keynote, Numbers, iTunes U, Garage Band, Remote, Find My iPhone, Find My Friends, Air Drop, Air Play, Control Centre, iCloud Drive, Notification Centre, Siri","Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool",,,32 GB,,"3G, 4G, Wi-Fi, GPRS, EDGE",No,,,,,,Google Maps,,,,,,,,iPhone 6s Plus,MN2V2HN/A,,Yes,"Apple iPhone 6s Plus (Space Grey, 32 GB)","4G, 3G, 2G",,,"GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38/39/40/41",iOS 9,,"Retina HD Display with 3D Touch, LED Backlit Widescreen, 401 PPI, 500 cd/m2 Maximum Brightness, Full sRGB Standard, Dual Domain Pixels for Wide Viewing Angles, Fingerprint Resistant Oleophobic Coating, Display Zoom, Reachability","Photos, Wallet, Calendar, Notes, Reminders, Clock, Calculator",Yes,Yes,Safari,Yes,12MP,Yes,"iSight Camera, 1.22 µ Pixels, Live Photos, Auto Focus, Focus Pixels, True Tone Flash, Panorama (Upto 63 MP), Auto HDR for Photos, Exposure Control, Burst Mode, Timer Mode, f/2.2 Aperture, Five-element Lens, Hybrid IR Filter, Backside Illumination Sensor, Sapphire Crystal Lens Cover, Auto Image Stabilisation, Improved Local Tone Mapping, Improved Noise Reduction, Face Detection, Photo Geo-tagging, Slow-motion Video: Shoot Video at 120 fps,Time-lapse Video, Cinematic Video Stabilisation, Continuous Auto Focus Video, Take Still Photos While Recording Video, Zoom - 3x, Video Geo-tagging",1.84 GHz,Dual Core,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,,,No,1080 x 1920 Pixels,Retina HD Display,,,Nano Sim,Single Sim,Yes,Yes,5MP,Yes,"720p HD Video Recording, Retina Flash, f/2.2 Aperture, Auto HDR for Photos and Videos, Backside Illumination Sensor, Exposure Control, Burst Mode, Timer Mode, Face Detection",,"Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",,Yes,,,,,Multi-language Support,,4G LTE,,,,Yes,,Yes,,,,,Yes,"H.264, MP4, MOV, M4V, AAC-LC, MPEG4, AVI, MJPEG, PCM",Yes,3840 x 2160,Yes,,,,Brand Warranty of 1 Year,192 g,Yes,,802.11 a/b/g/n/ac,77.9 mm,https://www.flipkart.com/apple-iphone-6s-plus-space-grey-32-gb/p/itmen2yyjnqsjcrw?pid=MOBEN2YYPGFCZYHT&srno=s_27_2&otracker=search&lid=LSTMOBEN2YYPGFCZYHTIC5F1I&fm=organic&iid=3546aec9-180c-4d24-95b8-887e65c744e7.MOBEN2YYPGFCZYHT.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/apple-iphone-6s-plus-space-grey-32-gb/product-reviews/itmen2yyjnqsjcrw?pid=MOBEN2YYPGFCZYHT
1320,,,"Mobile, Battery, Charger, Ear Phone, User Manual",,,1000 mAh,,,,Feature Phones,,,,,,,,Black & Green,,620,,,,,,1.8 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/mobile/y/p/p/mido-m11-m11-original-imaeqfyymptgkfn4.jpeg?q=70,,"Handset, Battery, Charger, Earphone, User Manual",,,32 MB,,,,,,,,,,Dedicated Slot,,,,,,,M11,M11,,,Mido M11  (Black & Green),2G,,No,,,,,,,,,,0.3MP,,,,,,,32 MB,,320 x 240 Pixels,,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, GSM",,,,No,,,,,,,,,,,,,,,6 Month Manufacturing Warranty,,,,,,https://www.flipkart.com/mido-m11/p/itmeq4ryvzxhkwvd?pid=MOBEQKAKH8QVRYPP&srno=s_27_3&otracker=search&lid=LSTMOBEQKAKH8QVRYPPEKGEML&fm=organic&iid=40fa7895-fe0e-4dfc-b951-8fa1b9101715.MOBEQKAKH8QVRYPP.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/mido-m11/product-reviews/itmeq4ryvzxhkwvd?pid=MOBEQKAKH8QVRYPP
1321,Yes,"HSDPA (Downlink Speed): 150 Mbps, HSUPA (Uplink Speed): 50 Mbps",,"MP3, AAC, AMR, WAV",3.5 mm,1600 mAh,,Yes,4,Smartphones,Yes,,,Yes,,,,Grey,,"3,499",,,10.05 mm,,16.7 M,4 inch,,,,,Yes,Class 12,32 GB,Yes,Yes,Rear Flash,30 fps,,Yes,Class 12,Yes,Mali MP2 at 512 MHz,,,,Yes,,120 mm,,No,,https://rukminim1.flixcart.com/image/704/704/jbpeavk0/mobile/t/b/5/micromax-vdeo-1-q4001-original-imaffy2ezfvknk4z.jpeg?q=70,,"Handset, Charger, Battery, Hands-free, USB Cable, User Guide, Screen Guard",,,8 GB,,"4G, 3G, Wi-Fi, GPRS, EDGE, WAP",,,,,,Yes,Google Maps,Dedicated Slot,Yes,,,,,,Vdeo 1,Q4001,,,"Micromax Vdeo 1 (Grey, 8 GB)  (1 GB RAM)","4G, 3G, 2G",,No,GSM - 850 / 900 / 1800 / 1900 MHz; WCDMA - 900 / 2100 MHz; 4G LTE - B3 / B5 / B40,Android Marshmallow 6,,"TN Display, Pinch Zoom, 2-point Multitouch","Battery: 4.35 V, Browsing Time - 2G: 2.5 hrs, 3G: 1.8 hrs, 4G: 1 hr, CE Charger Certification, 2-pin Charger, RAM Type: DDR3, FM Radio Band: 88.0 MHz - 108 MHz, FM Recording Formats: MP3, FDN Support, Email - POP3, IMAP4, Streaming Suppport, Data Cable Length: 1.2 M, Stereo Headset, STK / UTK",Yes,,"Android, Google Chrome 39.0",,5MP,Yes,"Fixed Focus, Zoom Level, Night Mode",1.3 GHz,Quad Core,Spreadtrum SC9832 Quad Core 1.3GHz,,1 GB,,480 x 800 pixels,WVGA,,,Micro SIM and Micro SIM,Dual Sim,Yes,,2MP,Yes,Fixed Focus,,"Gravity Sensors, Proximity Sensor, Light Sensor",,Yes,,,Yes,Yes,,microSD,"4G LTE, 4G LTE",,,,Yes,Capacitive,Yes,,,,2.5 GB,Yes,"MP4, 3GP",Yes,1280 x 720,,Yes,2,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Yes,Yes,802.11 b/g/n,63.6 mm,https://www.flipkart.com/micromax-vdeo-1-grey-8-gb/p/itmer9368wurnwja?pid=MOBFYXKZPTKGBTB5&srno=s_27_4&otracker=search&lid=LSTMOBFYXKZPTKGBTB5SUXUBM&fm=organic&iid=57c750d9-203f-4845-9193-578460271b0e.MOBFYXKZPTKGBTB5.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/micromax-vdeo-1-grey-8-gb/product-reviews/itmer9368wurnwja?pid=MOBFYXKZPTKGBTB5
1322,,,,,,850 mAh,,,,Feature Phones,,,,,,,Yes,Black,,699,,,,,,1.8 inch,,,,,,,,Yes,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j2ur3ww0/mobile/x/q/f/forme-n9-n9-original-imaetzhmzvvzvufz.jpeg?q=70,,"Handset, Charger, Battery, Earphone Handset, Charger",,,16 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,"N9+ Selfie Camera , Wireless FM, Dual SIM (Black) Moile Phone",N9+,,,"Forme N9+ Selfie Camera , Wireless FM, Dual SIM (Black) Moile Phone  (Black)",2G,,No,,,,,,,,,,0.3MP,Yes,,,,,,,,320 x 240 Pixels,,,,,Dual Sim,Yes,,,,,,,,No,,,Yes,,,,"GSM, GSM",,7 hrs,,No,,,,,,,,,,,,,,Manufacturer Warrenty,1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/forme-n9-selfie-camera-wireless-fm-dual-sim-black-moile-phone/p/itmev2kenhhz4g6y?pid=MOBEUYXRSBYDWXQF&srno=s_27_5&otracker=search&lid=LSTMOBEUYXRSBYDWXQFSRAN1P&fm=organic&iid=271cd6dd-e4be-4247-88b2-5853b8ab8f64.MOBEUYXRSBYDWXQF.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/forme-n9-selfie-camera-wireless-fm-dual-sim-black-moile-phone/product-reviews/itmev2kenhhz4g6y?pid=MOBEUYXRSBYDWXQF
1323,,,SD Card,,,1000 mAh,Li-Ion,,,Feature Phones,,,,,,,,Blue & Black,,699,,,,,,1.77 inch,LCD,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j3agya80/mobile/2/e/q/trio-t3-neo-t3-neo-original-imaeufdxdmfqq2xz.jpeg?q=70,,"Handset, Charger, Earphones, Battery, User Manual",,,64 MB,,,,,Yes,,,,,Dedicated Slot,,,,,,,T3 Neo,T3 Neo,,,Trio T3 Neo  (Blue & Black),2G,,No,,,,,,Yes,,,,1.3MP,,,,,,,32 MB,Yes,128 x 160 Pixels,QVGA,,,Normal SIM,Dual Sim,Yes,,,,,,,,No,,,Yes,,"Hindi, English, Gujarati, Bengali",,"GSM, GSM",,4 hrs,,No,,,,,,,,,,,,,,,1 Year,,,,,,https://www.flipkart.com/trio-t3-neo/p/itmeugahuezermth?pid=MOBEUGAHQHFQ42EQ&srno=s_27_6&otracker=search&lid=LSTMOBEUGAHQHFQ42EQUWNB3P&fm=organic&iid=327f9b06-6e6e-4ab6-96fe-23a447415ca1.MOBEUGAHQHFQ42EQ.SEARCH&qH=911c35cead2534b4,
1324,Yes,HSPA+,,MP3,3.5 mm,3050 mAh,,Yes,v4.1,Smartphones,,,Yes,Yes,,Yes,Yes,Gold,Yes,"14,999",,,7.85 mm,Yes,,5.5 inch,,,,,Yes,,128 GB,Yes,,Color Correlated Temperature (CCT) Flash with Dual LED's,,,Yes,,Yes,Mali T860 MP2,,401 PPI,,,Yes,151.35 mm,,Yes,,https://rukminim1.flixcart.com/image/704/704/mobile/z/e/j/motorola-moto-m-xt1663-original-imaep55utc7u4sg8.jpeg?q=70,,"Handset, Charger, Type C USB Cable,White Earphone, SIM Tray Pin, User Manual, Quick Start Guide, Warranty Card, Film Back Cover",,,32 GB,,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,Google Maps,Hybrid Slot,,,,,,,Moto M,XT1663,Yes,,"Moto M (Gold, 32 GB)  (3 GB RAM)","4G VOLTE, 3G, 2G",,Yes,"GSM - Bands (2, 3, 5, 8); WCDMA - Bands (1, 2, 5, 8); 4G LTE (TDD) - Bands (38, 40, 41), LTE (FDD) - Bands (1, 3, 5, 7, 8, 20)",Android Marshmallow 6,,"Corning Gorilla Glass, IPS LCD Display, 10 Point Multi-touch","4G LTE: 300 Mbps (DL) / 50 Mbps (UL), Splash Guard Water Protection",Yes,,Android,,16MP,Yes,"PDAF, f/2.0, ZSL, Touch Focus, Face Detection, Panorama, Auto HDR",2.2 GHz,Octa Core,MediaTek Helio P15 64-bit Octa Core 2.2GHz,,3 GB,No,1920 x 1080 pixels,Full HD,,Dual Standby,Nano SIM,Dual Sim,Yes,,8MP,Yes,"Fixed Focus, Large Pixel",1.8 GHz,"Fingerprint Sensor, Vibration Sensor, Accelerometer Sensor, Proximity Sensor, E-compass, Gyroscope, Ambient Light Sensor",,Yes,,One Speaker with Dolby Atmos,,Yes,,MicroSD,"4G LTE, 4G LTE",,,,Yes,Capacitive,Yes,Yes,,,,,,Yes,,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,163 g,Yes,Yes,802.11 a/b/g/ac,75.35 mm,https://www.flipkart.com/moto-m-gold-32-gb/p/itmevt7zhnhxmfzc?pid=MOBENQAVHFQNPZEJ&srno=s_27_7&otracker=search&lid=LSTMOBENQAVHFQNPZEJIGRWMD&fm=organic&iid=3313e541-a3aa-4d18-9644-9f6f745fd1b5.MOBENQAVHFQNPZEJ.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/moto-m-gold-32-gb/product-reviews/itmevt7zhnhxmfzc?pid=MOBENQAVHFQNPZEJ
1325,,,,,,850 mAh,,,,Feature Phones,,,,,,,,Red & Black,,515,,,,,,1.8 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j6pctjk0/mobile/z/n/s/peace-p4-p4-original-imaexynwaj5nscfg.jpeg?q=70,,"Handset, Charger, Earphone, Battery",,,256 MB,,,,,,,,,,Dedicated Slot,,,,,,,P4,P4,,,Peace P4  (Red & Black),2G,,No,,,,,,,,,,0.3MP,,,,,,,64 MB,,320 x 240 Pixels,,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, GSM",,,,No,,,,,,,,,,,,,,,1 Months Brand Warranty,,,,,,https://www.flipkart.com/peace-p4/p/itmewpvyrmn6vrxg?pid=MOBEX4Y3VZFCNZNS&srno=s_27_8&otracker=search&lid=LSTMOBEX4Y3VZFCNZNSFG5SBF&fm=organic&iid=e1a34859-a413-4ca4-ae06-0dbb21fc7911.MOBEX4Y3VZFCNZNS.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/peace-p4/product-reviews/itmewpvyrmn6vrxg?pid=MOBEX4Y3VZFCNZNS
